departement,x,y
Ain,201,-14
Aisne,89,293
Allier,62,15
Alpes-de-Haute-Provence,258,-180
Hautes-Alpes,262,-133
Alpes-Maritimes,315,-222
Ardèche,143,-138
Ardennes,155,301
Ariège,-40,-293
Aube,129,183
Aude,27,-279
Aveyron,30,-168
Bouches-du-Rhône,132,-259
Calvados,-152,251
Cantal,35,-108
Charente,-112,-59
Charente-Maritime,-240,-29
Cher,35,70
Corrèze,-21,-87
Corse-du-Sud,408,-396
Haute-Corse,427,-332
Côte-d'Or,150,103
Côtes d'Armor,-314,185
Creuse,0,-14
Dordogne,-96,-112
Doubs,268,79
Drôme,194,-136
Eure,-64,248
Eure-et-Loir,-51,185
Finistère,-385,177
Gard,135,-198
Haute-Garonne,-39,-246
Gers,-103,-222
Gironde,-160,-134
Hérault,76,-239
Ille-et-Vilaine,-225,148
Indre,-28,50
Indre-et-Loire,-97,83
Isère,222,-90
Jura,234,33
Landes,-178,-202
Loir-et-Cher,-38,111
Loire,127,-29
Haute-Loire,103,-95
Loire-Atlantique,-280,91
Loiret,10,146
Lot,-24,-142
Lot-et-Garonne,-102,-163
Lozère,89,-153
Maine-et-Loire,-160,104
Manche,-204,291
Marne,137,243
Haute-Marne,191,154
Mayenne,-170,168
Meurthe-et-Moselle,254,208
Meuse,212,237
Morbihan,-307,145
Moselle,290,239
Nièvre,85,74
Nord,91,361
Oise,16,281
Orne,-120,214
Pas-de-Calais,-7,373
Puy-de-Dôme,53,-42
Pyrénées-Atlantiques,-187,-260
Hautes-Pyrénées,-112,-275
Pyrénées-Orientales,23,-326
Bas-Rhin,341,189
Haut-Rhin,332,146
Rhône,170,-45
Haute-Saône,232,110
Saône-et-Loire,131,34
Sarthe,-118,151
Savoie,279,-68
Haute-Savoie,266,-18
Paris,-415,381
Seine-Maritime,-89,300
Seine-et-Marne,-354,335
Yvelines,-466,373
Deux-Sèvres,-138,40
Somme,4,324
Tarn,13,-212
Tarn-et-Garonne,-49,-188
Var,259,-249
Vaucluse,191,-191
Vendée,-212,31
Vienne,-93,21
Haute-Vienne,-53,-44
Vosges,262,171
Yonne,87,135
Territoire de Belfort,314,119
Essonne,-413,318
Hauts-de-Seine,-408,446
Seine-St-Denis,-330,437
Val-de-Marne,-382,365
Val-d'Oise,-458,425
Guadeloupe,-474,127
Martinique,-457,30
Guyane,-428,-191
La Réunion,294,-385
Mayotte,178,-385
